Entry	Gene Names	Gene Ontology (molecular function)
Q3V7I4	THI4 YALI0A09768g	ferrous iron binding [GO:0008198]; pentosyltransferase activity [GO:0016763]
Q6BZQ6	BOS1 YALI0F31669g	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
Q6BZQ9	NMA111 YALI0F31603g	serine-type endopeptidase activity [GO:0004252]
Q6BZR4	DBP9 YALI0F31493g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA helicase activity [GO:0003678]; DNA/RNA helicase activity [GO:0033677]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6BZR9	YALI0_F31383g	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q6BZT1	YALI0_F31119g	"ATPase binding [GO:0051117]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6BZT7	YALI0_F30987g	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
Q6BZU2	CCS1 YALI0F30877g	copper ion binding [GO:0005507]; superoxide dismutase copper chaperone activity [GO:0016532]
Q6BZU7	BST1B YALI0F30767g	phosphatidylinositol deacylase activity [GO:0050185]
Q6BZW9	YALI0_F30283g	
Q6BZX5	SEC13 YALI0F30151g	structural molecule activity [GO:0005198]
Q6BZZ1	ATG12 YALI0F29689g	
Q6C007	CWC2 YALI0F29073g	metal ion binding [GO:0046872]; pre-mRNA binding [GO:0036002]; U6 snRNA binding [GO:0017070]
Q6C009	YALI0_F28765g	"formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6C012	YALI0_F28655g	actin binding [GO:0003779]; ATP binding [GO:0005524]; chitin synthase activity [GO:0004100]; cytoskeletal motor activity [GO:0003774]
Q6C019	YALI0_F28501g	disordered domain specific binding [GO:0097718]; nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein-containing complex binding [GO:0044877]
Q6C024	PRP28 YALI0F28391g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6C030	DPB2 YALI0F28215g	DNA polymerase processivity factor activity [GO:0030337]; DNA-directed DNA polymerase activity [GO:0003887]; double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697]
Q6C038	YALI0_F28039g	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]
Q6C044	ATG18 YALI0F27907g	"phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]"
Q6C060	MIC60 YALI0F27555g	
Q6C097	HEM3 YALI0F26609g	hydroxymethylbilane synthase activity [GO:0004418]
Q6C0A1	ADK2 YALI0_F26521g	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; nucleoside triphosphate adenylate kinase activity [GO:0046899]
Q6C0A2	YALI0_F26499g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; four-way junction DNA binding [GO:0000400]; guanine/thymine mispair binding [GO:0032137]; mismatched DNA binding [GO:0030983]; single base insertion or deletion binding [GO:0032138]
Q6C0C4	HHT1 YALI0F25905g	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
Q6C0E6	CWC15 YALI0F25421g	RNA binding [GO:0003723]
Q6C0G3	DPH3 YALI0F24981g	ferrous iron binding [GO:0008198]; iron chaperone activity [GO:0034986]; oxidoreductase activity [GO:0016491]
Q6C0G9	YALI0_F24783g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA/DNA annealing activity [GO:1990814]; double-stranded DNA binding [GO:0003690]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]
Q6C0I0	SNU13 YALI0F24497g	U3 snoRNA binding [GO:0034511]; U4 snRNA binding [GO:0030621]
Q6C0K1	YPI1 YALI0F23991g	protein phosphatase 1 binding [GO:0008157]; protein phosphatase activator activity [GO:0072542]; protein serine/threonine phosphatase inhibitor activity [GO:0004865]
Q6C0K9	BYE1 YALI0F23815g	metal ion binding [GO:0046872]; RNA polymerase II complex recruiting activity [GO:0001139]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]
Q6C0L7	YALI0F23595g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]
Q6C0M3	YALI0_F23463g	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]
Q6C0M4	HER2 YALI0F23441g	ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]
Q6C0M9	CWC21 YALI0F23309g	
Q6C0P9	TRM61 YALI0F22737g	tRNA (adenine-N1-)-methyltransferase activity [GO:0016429]
Q6C0Q2	INT6 YALI0F22671g	translation initiation factor activity [GO:0003743]
Q6C0S8	DPH1 YALI0F22055g	"2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]"
Q6C0T2	YALI0_F21967g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; membrane protein dislocase activity [GO:0140567]; P-type calcium transporter activity [GO:0005388]; P-type ion transporter activity [GO:0015662]; phosphatidylinositol-4-phosphate binding [GO:0070273]
Q6C0U0	VRG4 YALI0F21791g	antiporter activity [GO:0015297]; GDP-mannose transmembrane transporter activity [GO:0005458]
Q6C0U8	CYM1 YALI0F21615g	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
Q6C0X2	DHH1 YALI0F21032g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]
Q6C0Y0	COF1 YALI0F20856g	actin filament binding [GO:0051015]
Q6C0Y3	YALI0_F20790g	porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]
Q6C0Z0	YALI0_F20636g	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q6C0Z3	MCD4 YALI0F20570g	mannose-ethanolamine phosphotransferase activity [GO:0051377]
Q6C120	YALI0_F19910g	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]
Q6C141	DUT1 YALI0F19448g	dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287]
Q6C161	TIF32 YALI0F18942g	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]
Q6C187	BBP YALI0F18370g	mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]
Q6C193	SPB4 YALI0F18238g	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6C1A4	YALI0_F17974g	aminopeptidase activity [GO:0004177]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; DNA binding [GO:0003677]
Q6C1F3	ENO YALI0F16819g	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]
Q6C1G8	YALI0_F16379g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]
Q6C1H8	PRT1 YALI0F16115g	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q6C1I1	TRM7 YALI0_F16049g	tRNA (cytidine 32-2'-O)-methyltransferase activity [GO:0106339]; tRNA (guanosine 32-2'-O)-methyltransferase activity [GO:0106340]; tRNA methyltransferase activity [GO:0008175]
Q6C1I4	YALI0_F15983g	"formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6C1J1	YALI0_F15829g	metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]; small ribosomal subunit rRNA binding [GO:0070181]
Q6C1N1	YALI0F14839g	mRNA cap binding [GO:0098808]; translation initiation factor activity [GO:0003743]
Q6C1R1	YALI0_F14179g	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; plus-end-directed microtubule motor activity [GO:0008574]
Q6C1S2	YALI0_F13937g	"formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
Q6C1W9	TRM10 YALI0F12771g	tRNA (guanine(9)-N(1))-methyltransferase activity [GO:0052905]; tRNA (guanine-N1-)-methyltransferase activity [GO:0009019]; tRNA binding [GO:0000049]
Q6C1X0	YALI0_F12749g	fatty acid alpha-hydroxylase activity [GO:0080132]; heme binding [GO:0020037]; iron ion binding [GO:0005506]
Q6C216	GPI18 YALI0F11649g	"alpha-1,6-mannosyltransferase activity [GO:0000009]; glycolipid mannosyltransferase activity [GO:0004376]; mannosyltransferase activity [GO:0000030]"
Q6C255	GUF1 YALI0F10725g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mitochondrial ribosome binding [GO:0097177]
Q6C278	YALI0_F10098g	nuclear export signal receptor activity [GO:0005049]; nuclear import signal receptor activity [GO:0061608]; small GTPase binding [GO:0031267]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U4 snRNA binding [GO:0030621]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]
Q6C297	YALI0_F09603g	"alcohol dehydrogenase activity, zinc-dependent [GO:0004024]; hydroxymethylfurfural reductase (NADH) activity [GO:0033833]; S-(hydroxymethyl)glutathione dehydrogenase activity [GO:0051903]; S-(hydroxymethyl)glutathione dehydrogenase NAD activity [GO:0106322]; S-(hydroxymethyl)glutathione dehydrogenase NADP activity [GO:0106321]; zinc ion binding [GO:0008270]"
Q6C299	YALI0_F09559g	1-phosphatidylinositol-3-kinase activity [GO:0016303]; ATP binding [GO:0005524]
Q6C2B0	URA6 YALI0_F09339g	ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; UMP kinase activity [GO:0033862]
Q6C2C9	YALI0_F08921g	metal ion binding [GO:0046872]; queuine tRNA-ribosyltransferase activity [GO:0008479]
Q6C2E3	QCR2 YALI0F08613g	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; ubiquinol-cytochrome-c reductase activity [GO:0008121]
Q6C2F0	YALI0_F08459g	poly(U) RNA binding [GO:0008266]; U2 snRNA binding [GO:0030620]
Q6C2H4	CET1 YALI0F07865g	mRNA 5'-phosphatase activity [GO:0140818]; polynucleotide 5'-phosphatase activity [GO:0004651]
Q6C2J1	GEM1 YALI0F07491g	calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6C2M3	YALI0_F06644g	
Q6C2Q6	YALI0_F05940g	aminopeptidase activity [GO:0004177]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; DNA binding [GO:0003677]
Q6C2R8	RAD5 YALI0F05698g	"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; zinc ion binding [GO:0008270]"
Q6C2S2	COQ2 YALI0_F05610g	4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]; 4-hydroxybenzoate octaprenyltransferase activity [GO:0008412]
Q6C2S9	SNX3 YALI0F05456g	phosphatidylinositol-3-phosphate binding [GO:0032266]
Q6C2T4	SEC24 YALI0F05324g	SNARE binding [GO:0000149]; zinc ion binding [GO:0008270]
Q6C2T8	DAM1 YALI0F05236g	
Q6C2T9	TPI1 YALI0F05214g	triose-phosphate isomerase activity [GO:0004807]
Q6C2U5	YALI0_F05082g	DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA-dependent RNA polymerase activity [GO:0003968]
Q6C2V6	ATP14 YALI0_F04774g	
Q6C2Z2	BST1A YALI0F03927g	phosphatidylinositol deacylase activity [GO:0050185]
Q6C2Z7	YSH1 YALI0F03817g	5'-3' RNA exonuclease activity [GO:0004534]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]
Q6C305	NTG1 YALI0_F03641g	class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA binding [GO:0003677]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity [GO:0000703]
Q6C341	HTZ1 YALI0F02827g	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
Q6C342	YALI0_F02805g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; DNA replication origin binding [GO:0003688]; protein-folding chaperone binding [GO:0051087]; single-stranded DNA binding [GO:0003697]; unfolded protein binding [GO:0051082]
Q6C347	FAL1 YALI0F02695g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]
Q6C348	YALI0_F02673g	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; plus-end-directed microtubule motor activity [GO:0008574]
Q6C370	END3 YALI0F02145g	actin binding [GO:0003779]; calcium ion binding [GO:0005509]
Q6C3A7	YALI0_F01232g	"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; damaged DNA binding [GO:0003684]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]"
Q6C3B0	SEY1 YALI0F01166g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6C3B2	YALI0_F01122g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; lysophosphatidylserine flippase activity [GO:0180013]; magnesium ion binding [GO:0000287]; phosphatidylethanolamine flippase activity [GO:0090555]; phosphatidylserine flippase activity [GO:0140346]
Q6C3B6	YALI0_F01034g	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]
Q6C3C5	YALI0_F00836g	protein phosphatase regulator activity [GO:0019888]; protein serine/threonine phosphatase activity [GO:0004722]
Q6C3D7	STE20 YALI0F00572g	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6C3F6	YALI0_F00154g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-strand/single-strand DNA junction binding [GO:0000406]; four-way junction DNA binding [GO:0000400]; guanine/thymine mispair binding [GO:0032137]; heteroduplex DNA loop binding [GO:0000404]; mismatched DNA binding [GO:0030983]; single base insertion or deletion binding [GO:0032138]; Y-form DNA binding [GO:0000403]
Q6C3H7	YALI0_E34749g	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
Q6C3I4	YALI0_E34551g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]
Q6C3J3	MRH4 YALI0E34353g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6C3K2	ALG1 YALI0E34133g	chitobiosyldiphosphodolichol beta-mannosyltransferase activity [GO:0004578]; mannosyltransferase activity [GO:0000030]
Q6C3K3	YALI0_E34111g	calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; enzyme regulator activity [GO:0030234]; mitogen-activated protein kinase binding [GO:0051019]
Q6C3L4	SLT11 YALI0E33847g	pre-mRNA binding [GO:0036002]; U6 snRNA binding [GO:0017070]
Q6C3L7	YALI0_E33774g	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q6C3M9	GET3 YALI0E33495g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]
Q6C3N5	YALI0_E33377g	"4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-flap endonuclease activity [GO:0017108]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; single-stranded DNA helicase activity [GO:0017116]"
Q6C3P2	YALI0_E33253g	clathrin heavy chain binding [GO:0032050]; structural molecule activity [GO:0005198]
Q6C3P4	PPM2 TYW4 YALI0E33209g	tRNA methyltransferase activity [GO:0008175]
Q6C3P6	YALI0_E33165g	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
Q6C3S1	NDE1 YALI0E32571g	microtubule binding [GO:0008017]
Q6C3U1	YOS9 YALI0E32131g	carbohydrate binding [GO:0030246]
Q6C3V7	ALG2 YALI0E31797g	"alpha-1,3-mannosyltransferase activity [GO:0000033]; GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0004378]; GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity [GO:0102704]"
Q6C3V9	YALI0_E31779g	"4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; tRNA-4-demethylwyosine synthase activity [GO:0102521]"
Q6C3X6	RVB2 YALI0E31449g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA helicase activity [GO:0003678]
Q6C414	SEC31 YALI0E30635g	structural molecule activity [GO:0005198]
Q6C423	JHD1 YALI0E30393g	histone demethylase activity [GO:0032452]; histone H3K36me/H3K36me2 demethylase activity [GO:0140680]; metal ion binding [GO:0046872]; transcription coregulator activity [GO:0003712]
Q6C427	LCL3 YALI0E30305g	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]
Q6C449	IRS4 YALI0E29689g	
Q6C452	MAD1 YALI0E29623g	
Q6C454	YALI0_E29579g	magnesium ion binding [GO:0000287]; phosphoacetylglucosamine mutase activity [GO:0004610]
